distance,velocity
0.095612978858483,-324.130145414304
0.263612518089725,-78.0993043678468
0.314769388698063,231.506339626364
0.514416454641901,-40.5842348678825
0.550816535651679,286.445103377086
0.583342959391836,491.353933692935
0.609720720799261,844.590614251884
0.608921394696005,-308.293111103802
0.672867482956428,141.707300026312
0.701220050030718,1129.6839812099
0.704396457029275,636.030164159686
0.690452657228044,281.599460597289
0.708943734416682,906.752675086611
0.763876469284207,817.521660683744
0.822341464265165,183.346320828231
0.830867609366554,1097.90698226841
0.829801841228881,608.182037451212
0.849625128589612,795.464412577292
0.891403239586421,442.880322764548
0.988601293742263,787.874171681011
1.05112635781912,387.581190584084
1.08212244782313,930.632071437968
1.12928268791519,800.776811663537
1.13327931843147,726.115875652326
1.12768403570868,497.720283515327
1.18214478754381,292.947199929833
1.30051610203477,489.790268824277
1.49137741268983,691.558882054992
1.64484802451485,1790.59190402579
1.72158333042735,1091.1311011709
1.80109276810998,1289.41431854942
1.79943769288442,892.143577599438
1.80426917510854,572.143285240246
1.80109276810998,-34.628764017119
1.91307902687865,589.673351250775
1.9784867400136,292.947199929833
2.37660756245378,640.086056788193
2.73193152494203,940.851738258124
2.73193152494203,640.963154519142
3.44812771345876,790.907446388633
